sample	lane	machine
Q081_KS2A-6.sort.bam	3564_7	X10
Q082_KS2A-14.sort.bam	3577_7	X10
Q082_KS2A-14.sort.bam	3564_7	X10
Q083_KS2W-14.sort.bam	3577_7	X10
Q083_KS2W-14.sort.bam	3564_7	X10
Q084_KS2W-32.sort.bam	3579_1	X10
Q084_KS2W-32.sort.bam	3564_8	X10
Q086_MB1W-40.sort.bam	3579_1	X10
Q086_MB1W-40.sort.bam	3564_8	X10
Q088_MK4-4.sort.bam	3579_1	X10
Q088_MK4-4.sort.bam	3564_8	X10
Q089_MK4-4R.sort.bam	3579_1	X10
Q089_MK4-4R.sort.bam	3564_8	X10
Q090_MK4-5.sort.bam	3579_1	X10
Q090_MK4-5.sort.bam	3564_8	X10
Q091_MK4-13R.sort.bam	3579_1	X10
Q091_MK4-13R.sort.bam	3564_8	X10
Q092_MK4-19.sort.bam	3570_1	X10
Q093_MK7-13.sort.bam	3579_1	X10
Q093_MK7-13.sort.bam	3564_8	X10
Q094_ND1W-38.sort.bam	3579_1	X10
Q094_ND1W-38.sort.bam	3564_8	X10
Q095_P-16.sort.bam	3570_1	X10
Q095B_SD2A-27.sort.bam	3570_3	X10
Q096_SD1A-40.sort.bam	3570_1	X10
Q097_SD1W-6.sort.bam	3570_1	X10
Q098_SD1W-14.sort.bam	3570_1	X10
Q098B_SK1A-36.sort.bam	3570_1	X10
Q099_SD1W-21B.sort.bam	3570_1	X10
Q100_SD2W-23R.sort.bam	3570_1	X10
Q101_SK1A-17A.sort.bam	3570_1	X10
Q114B_MO1A-18.sort.bam	3570_1	X10
Q117B_SD2A-18.sort.bam	3570_2	X10
Q144C_ND1W-31.sort.bam	3570_2	X10
Q166B_ND1W-25.sort.bam	3570_2	X10
Q18B_Man-7.sort.bam	3570_2	X10
Q23_P-015.sort.bam	3441_6	HiSeq2500
Q23_P-015.sort.bam	3393_8	HiSeq2500
Q24_P-046.sort.bam	3441_6	HiSeq2500
Q24_P-046.sort.bam	3393_8	HiSeq2500
Q25_P-076.sort.bam	3441_5	HiSeq2500
Q25_P-076.sort.bam	3393_8	HiSeq2500
Q33_IA1W-28.sort.bam	3441_5	HiSeq2500
Q33_IA1W-28.sort.bam	3393_8	HiSeq2500
Q35_IA2A-7.sort.bam	3441_7	HiSeq2500
Q35_IA2A-7.sort.bam	3393_8	HiSeq2500
Q68_P-014.sort.bam	3441_5	HiSeq2500
Q68_P-014.sort.bam	3393_8	HiSeq2500
Q87_MK3-2.sort.bam	3570_2	X10
QPA2_KS2W-8.sort.bam	3577_5	X10
QPA2_KS2W-8.sort.bam	3564_5	X10
QPA3_SK1A-22.sort.bam	3570_3	X10
QPB3_IA2W-7.sort.bam	3577_5	X10
QPB3_IA2W-7.sort.bam	3564_5	X10
QPB4_IA2A-9.sort.bam	3570_3	X10
QPC1_SK1W-37.sort.bam	3570_3	X10
QPC2_IA2W-6.sort.bam	3570_2	X10
QPC4_IA2A-4.sort.bam	3577_5	X10
QPC4_IA2A-4.sort.bam	3564_5	X10
QPD2_KS1W-32.sort.bam	3577_5	X10
QPD2_KS1W-32.sort.bam	3564_5	X10
QPD5_MK4-9.sort.bam	3577_5	X10
QPD5_MK4-9.sort.bam	3564_5	X10
QPE2_KS1W-26.sort.bam	3570_2	X10
QPE5_KS1A-28.sort.bam	3577_5	X10
QPE5_KS1A-28.sort.bam	3564_5	X10
QPF4_KS1W-9.sort.bam	3577_5	X10
QPF4_KS1W-9.sort.bam	3564_5	X10
QPG1_SD1W-15.sort.bam	3570_3	X10
QPG4_KS2W-35.sort.bam	3577_5	X10
QPG4_KS2W-35.sort.bam	3564_5	X10
QPH4_SD1W-13.sort.bam	3577_5	X10
QPH4_SD1W-13.sort.bam	3564_5	X10
